championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LLA/2024_Season/Closing_Playoffs;Estral Esports;Josedeodo;10;4;6;40%;3.3;2.2;7.3;4.82;205.8;6.41;11.4;354;14.8k;461;75.7%;23.6%;19.7%;6;['Nidalee', 'Sejuani', 'Lee Sin']
LLA/2024_Season/Closing_Playoffs;Estral Esports;Snaker;10;4;6;40%;4.5;2.4;6.2;4.46;287.8;8.97;13.5;420;25.1k;780.9;76.4%;32.1%;23.4%;6;"['Ashe', 'Kalista', ""Kai'Sa""]"
LLA/2024_Season/Closing_Playoffs;Estral Esports;Zothve;10;4;6;40%;2.1;3.5;5.2;2.09;254.2;7.92;11.7;365;14.9k;465.5;52.1%;15%;20.4%;6;"[""K'Sante"", 'Renekton', 'Camille']"
LLA/2024_Season/Closing_Playoffs;INFINITY;Grell;17;7;10;41.2%;2.24;4.24;7.35;2.26;235.18;7.17;12;365;20k;611.3;71.5%;16.7%;19.6%;7;['Zyra', 'Lillia', 'Shyvana']
LLA/2024_Season/Closing_Playoffs;INFINITY;Leza;17;7;10;41.2%;3.53;3.12;5.24;2.81;311.29;9.49;14.6;444;21.4k;652.7;65.4%;26.3%;23.8%;9;['Corki', 'Azir', 'Zeri']
LLA/2024_Season/Closing_Playoffs;INFINITY;Trigger;17;7;10;41.2%;5.06;2.65;4.06;3.44;326;9.94;15.1;461;23.9k;730.3;68%;37.7%;24.7%;6;['Ezreal', 'Zeri', 'Smolder']
LLA/2024_Season/Closing_Playoffs;INFINITY;Zoen;17;7;10;41.2%;1.94;3.35;5.29;2.16;228;6.95;11.6;355;13k;395.1;53.9%;14.5%;19%;8;"[""K'Sante"", 'Gnar', 'Kennen']"
LLA/2024_Season/Closing_Playoffs;INFINITY;Toplop;13;6;7;46.2%;0.62;5.31;8.38;1.7;47.38;1.48;7.8;245;5.6k;173.8;68%;4.7%;13.3%;6;['Rell', 'Nautilus', 'Alistar']
LLA/2024_Season/Closing_Playoffs;INFINITY;Nia;4;1;3;25%;0.75;6;6.75;1.25;33.75;0.95;8.1;228;3.9k;109;53.6%;5.4%;11.9%;2;['Leona', 'Alistar']
LLA/2024_Season/Closing_Playoffs;Isurus;Gavotto;13;6;7;46.2%;4;2;6;5;320.54;10.1;14.2;448;19.8k;624.8;63.1%;25.2%;24%;5;['Jhin', 'Ashe', 'Smolder']
LLA/2024_Season/Closing_Playoffs;Isurus;Kaze;13;6;7;46.2%;3.62;3.23;7.54;3.45;259.46;8.18;13.2;415;24.1k;759.5;70.4%;22.8%;22.2%;6;['Aurora', 'LeBlanc', 'Tristana']
LLA/2024_Season/Closing_Playoffs;Isurus;Loopy;13;6;7;46.2%;1.23;3.23;9;3.17;36.15;1.14;7.7;244;6.2k;194.1;64.6%;7.8%;13%;6;['Maokai', 'Nautilus', 'Leona']
LLA/2024_Season/Closing_Playoffs;Isurus;OnFleek;13;6;7;46.2%;3.38;2.38;7.15;4.42;222.62;7.01;12.1;380;14.9k;469.4;66.5%;21.4%;20.3%;6;['Hecarim', 'Nidalee', 'Viego']
LLA/2024_Season/Closing_Playoffs;Isurus;pan;13;6;7;46.2%;3.62;2.69;6;3.57;242.92;7.65;12.1;382;16.9k;533.7;60.7%;22.8%;20.5%;7;"['Kennen', ""K'Sante"", 'Renekton']"
LLA/2024_Season/Closing_Playoffs;Movistar R7;Ceo;12;9;3;75%;6.08;1.67;5.67;7.05;315.67;9.43;15.5;462;26.9k;803.4;62.4%;32.3%;23.8%;5;"[""Kai'Sa"", 'Xayah', 'Ezreal']"
LLA/2024_Season/Closing_Playoffs;Movistar R7;Keine;12;9;3;75%;5;1.83;7.58;6.86;306.83;9.17;15.2;454;28.4k;847.5;66.8%;26.5%;23.3%;4;['Lucian', 'Corki', 'Tristana']
LLA/2024_Season/Closing_Playoffs;Movistar R7;Lyonz;12;9;3;75%;0.75;4;12.42;3.29;38.92;1.16;8.5;254;6.1k;182.4;69.9%;4%;13%;6;['Rell', 'Nautilus', 'Rakan']
LLA/2024_Season/Closing_Playoffs;Movistar R7;Oddie;12;9;3;75%;3.83;2.92;10.25;4.83;210.75;6.3;12.3;367;23.6k;705.8;74.8%;20.4%;18.9%;6;['Brand', 'Zyra', 'Maokai']
LLA/2024_Season/Closing_Playoffs;Movistar R7;Summit;12;9;3;75%;3.17;3.5;7.17;2.95;274.58;8.2;13.6;408;27.1k;810.8;54.9%;16.8%;21%;9;"['Gnar', 'Poppy', ""K'Sante""]"
