championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
CBLOL/2018_Season/Split_1;Rakan;16;24.2%;6;10;7;6;4;60%;0.6;2.3;10.1;4.65;26.2;0.77;8.9;264;-;-;83.6%;4.7%;14.5%;['Support']
CBLOL/2018_Season/Split_1;Jayce;16;24.2%;12;4;3;2;2;50%;2.25;4.25;5.25;1.76;313.5;9.21;13.6;399;-;-;65.2%;19.6%;22.1%;['Top Laner', 'Mid Laner']
CBLOL/2018_Season/Split_1;Malzahar;14;21.2%;7;7;3;1;6;14.3%;1.86;2.57;3;1.89;317.57;8.69;13.2;361;-;-;72.3%;27.7%;21.6%;['Mid Laner']
CBLOL/2018_Season/Split_1;Olaf;13;19.7%;3;10;6;6;4;60%;1.6;1.8;6.6;4.56;183.1;5.32;11.1;324;-;-;73.9%;14.4%;17.7%;['Jungler']
CBLOL/2018_Season/Split_1;Evelynn;12;18.2%;9;3;2;1;2;33.3%;1.33;1.67;5.67;4.2;178.33;4.68;12.1;318;-;-;72.4%;13.8%;17.8%;['Jungler']
CBLOL/2018_Season/Split_1;Kassadin;10;15.2%;6;4;3;1;3;25%;4;1.75;2.25;3.57;335;9.09;14.7;398;-;-;80.6%;51.6%;23%;['Mid Laner']
CBLOL/2018_Season/Split_1;Syndra;9;13.6%;4;5;3;0;5;0%;2.2;3.6;2.8;1.39;321.6;9.25;12.8;370;-;-;73.5%;32.4%;22.7%;['Mid Laner']
CBLOL/2018_Season/Split_1;Gragas;8;12.1%;-;8;5;4;4;50%;1;1.88;7.5;4.53;175.88;4.65;11.5;304;-;-;61.8%;7.3%;16.7%;['Jungler']
CBLOL/2018_Season/Split_1;Trundle;8;12.1%;2;6;5;3;3;50%;0.67;2.33;5.17;2.5;285.67;7.53;14.1;371;-;-;60.3%;6.9%;20.3%;['Top Laner', 'Support']
CBLOL/2018_Season/Split_1;Lee Sin;6;9.1%;1;5;4;3;2;60%;1.6;1.6;6.6;5.13;176;5.41;10.9;336;-;-;77.4%;15.1%;17.9%;['Jungler']
CBLOL/2018_Season/Split_1;Zilean;6;9.1%;3;3;3;0;3;0%;1;2.33;1.67;1.14;119;3.46;9;263;-;-;61.5%;23.1%;16.7%;['Support', 'Mid Laner']
CBLOL/2018_Season/Split_1;Rumble;5;7.6%;2;3;2;1;2;33.3%;0.33;2.67;4;1.63;281;8.65;11.8;362;-;-;68.4%;5.3%;21%;['Top Laner']
CBLOL/2018_Season/Split_1;Swain;5;7.6%;3;2;1;1;1;50%;3;1.5;7;6.67;236.5;8.85;11.2;419;-;-;71.4%;21.4%;23.4%;['Top Laner']
CBLOL/2018_Season/Split_1;Illaoi;5;7.6%;4;1;1;0;1;0%;0;4;0;0;375;9.99;13.8;368;-;-;0%;0%;22.9%;['Mid Laner']
CBLOL/2018_Season/Split_1;Fiora;5;7.6%;5;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;[]
