championship_id;champion;games;pb;b;g;played_by_number_players;win;lose;winrate;kill;death;assist;kda;cs;csm;gold;gold_per_m;dmg;dmg_per_m;kpar;ks;gs;As
VCS/2020_Season/Spring_Season;Blitzcrank;45;32.8%;32;13;6;9;4;69.2%;1.38;3.38;8.85;3.02;29;0.93;7.7;247;-;-;60.5%;8.2%;13.2%;['Support']
VCS/2020_Season/Spring_Season;Tahm Kench;43;31.4%;14;29;10;14;15;48.3%;1.07;2.48;6.66;3.11;88.9;3.02;7.9;267;-;-;55%;7.6%;15.2%;['Support']
VCS/2020_Season/Spring_Season;Qiyana;38;27.7%;21;17;6;9;8;52.9%;3.88;3.41;6.82;3.14;190.94;6.03;11.4;360;-;-;65.2%;23.7%;19.9%;['Jungler', 'Mid Laner']
VCS/2020_Season/Spring_Season;Aatrox;37;27%;11;26;12;9;17;34.6%;3.12;3.35;4.38;2.24;228.12;7.76;-;-;-;-;57.5%;23.9%;-;['Top Laner', 'Mid Laner']
VCS/2020_Season/Spring_Season;Orianna;35;25.5%;18;17;6;10;7;58.8%;3.82;2.65;7.59;4.31;260.12;8.25;12.5;396;-;-;68.3%;22.9%;22%;['Mid Laner']
VCS/2020_Season/Spring_Season;Rumble;32;23.4%;15;17;9;4;13;23.5%;2.71;2.76;5.29;2.89;207.88;6.8;-;-;-;-;67.3%;22.8%;-;['Mid Laner', 'Top Laner', 'Support']
VCS/2020_Season/Spring_Season;Sejuani;31;22.6%;18;13;7;5;8;38.5%;2.62;3;7.31;3.31;156.38;5.09;9.9;323;-;-;67.9%;17.9%;18.7%;['Jungler']
VCS/2020_Season/Spring_Season;Nidalee;30;21.9%;19;11;4;9;2;81.8%;3.27;1.82;7.36;5.85;202.73;7.05;-;-;-;-;68.8%;21.2%;-;['Jungler']
VCS/2020_Season/Spring_Season;Tristana;29;21.2%;15;14;8;8;6;57.1%;4.57;2.07;4.07;4.17;247.86;8.45;12.4;422;-;-;66.1%;35%;24%;['Mid Laner', 'Top Laner']
VCS/2020_Season/Spring_Season;Jayce;28;20.4%;9;19;8;11;8;57.9%;4.37;3.11;5.16;3.07;242.95;8.15;-;-;-;-;68.3%;31.3%;-;['Top Laner', 'Mid Laner']
VCS/2020_Season/Spring_Season;Shyvana;25;18.2%;14;11;5;6;5;54.5%;5.27;2.45;6.18;4.67;210.64;7.01;12.1;403;-;-;72.8%;33.5%;22.6%;['Jungler']
VCS/2020_Season/Spring_Season;Varus;24;17.5%;7;17;8;8;9;47.1%;3.35;2.71;4.71;2.98;241.41;8.59;-;-;-;-;60.6%;25.2%;-;['Bot Laner']
VCS/2020_Season/Spring_Season;Vladimir;23;16.8%;13;10;4;6;4;60%;3.2;2.7;3.9;2.63;260.8;8.26;12.5;397;-;-;53.4%;24.1%;21.9%;['Top Laner']
VCS/2020_Season/Spring_Season;LeBlanc;22;16.1%;12;10;4;6;4;60%;3.5;2.2;4.6;3.68;216.6;7.55;10.6;370;-;-;59.1%;25.5%;20.9%;['Mid Laner']
VCS/2020_Season/Spring_Season;Gangplank;20;14.6%;9;11;6;3;8;27.3%;2.82;3.45;5;2.26;268.36;8.11;14;423;-;-;57.3%;20.7%;24.1%;['Top Laner', 'Mid Laner']
VCS/2020_Season/Spring_Season;Fiora;20;14.6%;10;10;4;3;7;30%;3.3;4.3;3.9;1.67;280;8.84;13.2;417;-;-;52.9%;24.3%;23.5%;['Top Laner']
VCS/2020_Season/Spring_Season;Trundle;18;13.1%;2;16;8;7;9;43.8%;2.25;2.44;7.88;4.15;138.88;4.68;9.5;321;-;-;74.3%;16.5%;18.3%;['Jungler']
VCS/2020_Season/Spring_Season;Taric;17;12.4%;2;15;7;6;9;40%;0.73;3;7.47;2.73;30.93;1.09;-;-;-;-;71.9%;6.4%;-;['Support']
VCS/2020_Season/Spring_Season;Neeko;17;12.4%;8;9;5;4;5;44.4%;3.22;2.33;6.89;4.33;246.78;7.52;12.4;377;-;-;68.4%;21.8%;21.4%;['Mid Laner']
VCS/2020_Season/Spring_Season;Karma;16;11.7%;4;12;11;6;6;50%;0.67;2.5;6.58;2.9;128.92;4.54;8.4;297;-;-;62.1%;5.7%;16.9%;['Mid Laner', 'Support', 'Top Laner']
VCS/2020_Season/Spring_Season;Rakan;14;10.2%;4;10;6;2;8;20%;0.8;4.1;10;2.63;44.7;1.21;8.6;232;-;-;72.5%;5.4%;13.4%;['Support']
VCS/2020_Season/Spring_Season;Yasuo;14;10.2%;8;6;4;1;5;16.7%;2.5;4;5.83;2.08;252.33;8.19;11.9;385;-;-;65.8%;19.7%;22.3%;['Mid Laner', 'Top Laner']
VCS/2020_Season/Spring_Season;Ezreal;13;9.5%;2;11;7;3;8;27.3%;3.09;2.73;3.91;2.57;289.45;9.17;12.9;408;-;-;51%;22.5%;23.9%;['Bot Laner']
VCS/2020_Season/Spring_Season;Kennen;13;9.5%;3;10;5;7;3;70%;2;2.6;5.2;2.77;220.1;7.4;10.8;363;-;-;46.5%;12.9%;20%;['Top Laner']
VCS/2020_Season/Spring_Season;Sylas;13;9.5%;3;10;6;4;6;40%;4.4;4.7;6.7;2.36;206.7;6.23;11.9;357;-;-;66.1%;26.2%;20.4%;['Mid Laner', 'Jungler', 'Top Laner']
VCS/2020_Season/Spring_Season;Azir;13;9.5%;5;8;5;3;5;37.5%;3.25;3.5;4.88;2.32;280.38;8.73;-;-;-;-;59.6%;23.9%;-;['Mid Laner']
VCS/2020_Season/Spring_Season;Taliyah;13;9.5%;8;5;4;4;1;80%;5.8;1.8;10.2;8.89;211;6.77;-;-;-;-;77.7%;28.2%;-;['Jungler', 'Bot Laner']
VCS/2020_Season/Spring_Season;Morgana;12;8.8%;6;6;2;0;6;0%;0.17;3;5.67;1.94;27.83;0.9;6.4;208;-;-;54.7%;1.6%;12.8%;['Support']
VCS/2020_Season/Spring_Season;Kai'Sa;10;7.3%;-;10;5;3;7;30%;4;2.5;3.7;3.08;282.6;9.3;-;-;-;-;58.8%;30.5%;-;['Bot Laner']
VCS/2020_Season/Spring_Season;Maokai;10;7.3%;3;7;5;3;4;42.9%;2.43;2.43;7.14;3.94;187.86;6.58;-;-;-;-;63.8%;16.2%;-;['Top Laner', 'Jungler']
VCS/2020_Season/Spring_Season;Galio;10;7.3%;5;5;4;4;1;80%;4.2;2.8;8.4;4.5;200.6;6.86;11.3;386;-;-;62.4%;20.8%;20.2%;['Mid Laner', 'Support', 'Bot Laner']
VCS/2020_Season/Spring_Season;Yuumi;9;6.6%;2;7;2;5;2;71.4%;0.43;2.43;13.14;5.59;7.29;0.28;6.8;259;-;-;76%;2.4%;13.7%;['Support']
VCS/2020_Season/Spring_Season;Nocturne;9;6.6%;7;2;2;1;1;50%;5.5;4;4.5;2.5;220.5;7.27;11.9;393;-;-;55.6%;30.6%;21.8%;['Top Laner', 'Jungler']
